state,age_group,disability_type,support_class,participant_count,average_support_budget,utilisation_rate,active_provider_count,payment_amount,participant_to_provider_ratio,utilisation_gap,payment_per_participant,access_gap_score,access_risk,payment_participant_count
ACT,0 to 8,ABI,Capacity Building,10,19000,58.0,8,0,1.25,42.0,0,0.3605,Low Risk,10.0
ACT,0 to 8,ABI,Core,10,83000,76.0,6,0,1.6667,24.0,0,0.3045,Low Risk,10.0
ACT,0 to 8,Autism,Capacity Building,808,23000,67.0,28,11131000,28.8571,33.0,13776,0.6678,High Risk,780.0
ACT,0 to 8,Autism,Capital,29,5000,70.0,15,83000,1.9333,30.0,2862,0.2088,Low Risk,16.0
ACT,0 to 8,Autism,Core,739,5000,88.0,2,4441000,369.5,12.0,6009,0.4718,Medium Risk,441.0
ACT,0 to 8,Cerebral Palsy,Capacity Building,29,27000,61.0,2,590000,14.5,39.0,20345,0.6814,High Risk,29.0
ACT,0 to 8,Cerebral Palsy,Capital,21,22000,38.0,2,303000,10.5,62.0,14429,0.7079,High Risk,20.0
ACT,0 to 8,Cerebral Palsy,Core,29,5000,29.0,2,550000,14.5,71.0,18966,0.6728,High Risk,26.0
ACT,0 to 8,Developmental Delay,Capacity Building,1085,20000,58.0,22,10704000,49.3182,42.0,9865,0.7594,High Risk,1172.0
ACT,0 to 8,Developmental Delay,Capital,40,15000,100.0,12,354000,3.3333,0.0,8850,0.1337,Low Risk,26.0
ACT,0 to 8,Developmental Delay,Core,986,1000,64.0,1,1039000,986.0,36.0,1054,0.652,High Risk,401.0
ACT,0 to 8,Down Syndrome,Capacity Building,29,27000,73.0,2,362000,14.5,27.0,12483,0.5734,High Risk,20.0
ACT,0 to 8,Down Syndrome,Capital,10,19000,81.5,2,0,5.0,18.5,0,0.2591,Low Risk,10.0
ACT,0 to 8,Down Syndrome,Core,21,11000,90.0,1,435000,21.0,10.0,20714,0.4005,Low Risk,18.0
ACT,0 to 8,Global Developmental Delay,Capacity Building,269,22000,70.0,13,3150000,20.6923,30.0,11710,0.6051,High Risk,251.0
ACT,0 to 8,Global Developmental Delay,Capital,23,15000,100.0,13,181000,1.7692,0.0,7870,0.0898,Low Risk,16.0
ACT,0 to 8,Global Developmental Delay,Core,256,7000,58.0,13,650000,19.6923,42.0,2539,0.6341,High Risk,105.0
ACT,0 to 8,Hearing Impairment,Capacity Building,86,17000,49.0,3,592000,28.6667,51.0,6884,0.7503,High Risk,83.0
ACT,0 to 8,Hearing Impairment,Capital,10,9500,39.0,2,0,5.0,61.0,0,0.5017,Medium Risk,
ACT,0 to 8,Hearing Impairment,Core,86,2000,29.0,1,54000,86.0,71.0,628,0.7766,High Risk,35.0
ACT,0 to 8,Intellectual Disability,Capacity Building,66,28000,71.0,10,1159000,6.6,29.0,17561,0.458,Medium Risk,64.0
ACT,0 to 8,Intellectual Disability,Capital,23,11000,54.0,10,98000,2.3,46.0,4261,0.3737,Low Risk,16.0
ACT,0 to 8,Intellectual Disability,Core,59,18000,70.0,10,846000,5.9,30.0,14339,0.3826,Low Risk,45.0
ACT,0 to 8,Other,Capacity Building,20,22000,53.0,8,229000,2.5,47.0,11450,0.4566,Medium Risk,21.0
ACT,0 to 8,Other,Capital,10,12500,57.5,1,0,10.0,42.5,0,0.5654,Medium Risk,10.0
ACT,0 to 8,Other,Core,21,3000,62.0,6,0,3.5,38.0,0,0.3296,Low Risk,10.0
ACT,0 to 8,Other Neurological,Capacity Building,20,22000,47.0,3,132000,6.6667,53.0,6600,0.6046,High Risk,11.0
ACT,0 to 8,Other Neurological,Capital,10,18500,45.5,1,0,10.0,54.5,0,0.6426,High Risk,10.0
ACT,0 to 8,Other Neurological,Core,12,15000,44.0,2,0,6.0,56.0,0,0.5433,Medium Risk,10.0
ACT,0 to 8,Other Physical,Capacity Building,10,19000,58.0,8,0,1.25,42.0,0,0.3605,Low Risk,10.0
ACT,0 to 8,Other Physical,Capital,10,19000,60.0,1,0,10.0,40.0,0,0.5712,High Risk,10.0
ACT,0 to 8,Other Physical,Core,10,83000,76.0,6,0,1.6667,24.0,0,0.3045,Low Risk,10.0
ACT,0 to 8,Other Sensory/Speech,Capacity Building,10,19000,58.0,8,0,1.25,42.0,0,0.3605,Low Risk,10.0
ACT,0 to 8,Other Sensory/Speech,Core,10,83000,76.0,6,0,1.6667,24.0,0,0.3045,Low Risk,
ACT,0 to 8,Stroke,Capacity Building,10,19000,58.0,8,0,1.25,42.0,0,0.3605,Low Risk,10.0
ACT,0 to 8,Stroke,Core,10,83000,76.0,6,0,1.6667,24.0,0,0.3045,Low Risk,
ACT,0 to 8,Visual Impairment,Capacity Building,10,19000,58.0,2,0,5.0,42.0,0,0.4772,Medium Risk,10.0
ACT,0 to 8,Visual Impairment,Capital,10,19000,60.0,2,0,5.0,40.0,0,0.4566,Medium Risk,10.0
ACT,0 to 8,Visual Impairment,Core,10,83000,76.0,2,0,5.0,24.0,0,0.4079,Low Risk,10.0
ACT,15 to 18,ABI,Capacity Building,10,19000,58.0,1,0,10.0,42.0,0,0.5918,High Risk,10.0
ACT,15 to 18,ABI,Capital,10,19000,60.0,1,0,10.0,40.0,0,0.5712,High Risk,10.0
ACT,15 to 18,ABI,Core,10,83000,76.0,1,0,10.0,24.0,0,0.5224,Medium Risk,10.0
ACT,15 to 18,Autism,Capacity Building,891,18000,46.0,41,6717000,21.7317,54.0,7539,0.7419,High Risk,812.0
ACT,15 to 18,Autism,Capital,22,9000,100.0,1,0,22.0,0.0,0,0.3891,Low Risk,10.0
ACT,15 to 18,Autism,Core,632,24000,72.0,5,11779000,126.4,28.0,18638,0.6821,High Risk,428.0
ACT,15 to 18,Cerebral Palsy,Capacity Building,31,22000,62.0,6,426000,5.1667,38.0,13742,0.4802,Medium Risk,28.0
ACT,15 to 18,Cerebral Palsy,Capital,22,22000,72.0,6,263000,3.6667,28.0,11955,0.3339,Low Risk,15.0
ACT,15 to 18,Cerebral Palsy,Core,28,70000,92.0,6,2384000,4.6667,8.0,85143,0.2929,Low Risk,22.0
ACT,15 to 18,Down Syndrome,Capacity Building,16,20000,76.0,2,208000,8.0,24.0,13000,0.3953,Low Risk,16.0
ACT,15 to 18,Down Syndrome,Capital,10,28000,81.5,2,0,5.0,18.5,0,0.3199,Low Risk,10.0
ACT,15 to 18,Down Syndrome,Core,16,36000,87.0,1,579000,16.0,13.0,36188,0.497,Medium Risk,16.0
ACT,15 to 18,Hearing Impairment,Capacity Building,46,7000,30.0,1,102000,46.0,70.0,2217,0.7697,High Risk,28.0
ACT,15 to 18,Hearing Impairment,Capital,10,4500,34.5,1,0,10.0,65.5,0,0.6074,High Risk,10.0
ACT,15 to 18,Hearing Impairment,Core,44,2000,39.0,1,38000,44.0,61.0,864,0.7499,High Risk,16.0
ACT,15 to 18,Intellectual Disability,Capacity Building,190,22000,55.0,33,2071000,5.7576,45.0,10900,0.5536,Medium Risk,180.0
ACT,15 to 18,Intellectual Disability,Capital,16,17000,35.0,18,0,0.8889,65.0,0,0.4071,Low Risk,10.0
ACT,15 to 18,Intellectual Disability,Core,153,33000,65.0,3,3798000,51.0,35.0,24824,0.75,High Risk,121.0
ACT,15 to 18,Other,Capacity Building,10,19000,58.0,8,0,1.25,42.0,0,0.3605,Low Risk,10.0
ACT,15 to 18,Other,Core,10,83000,76.0,6,0,1.6667,24.0,0,0.3045,Low Risk,10.0
ACT,15 to 18,Other Neurological,Capacity Building,17,19000,49.0,3,129000,5.6667,51.0,7588,0.5486,Medium Risk,16.0
ACT,15 to 18,Other Neurological,Capital,10,21000,68.5,3,0,3.3333,31.5,0,0.3411,Low Risk,10.0
ACT,15 to 18,Other Neurological,Core,21,23000,88.0,3,472000,7.0,12.0,22476,0.3208,Low Risk,12.0
ACT,15 to 18,Other Physical,Capacity Building,25,13000,33.0,8,95000,3.125,67.0,3800,0.4576,Medium Risk,24.0
ACT,15 to 18,Other Physical,Capital,10,9000,36.5,1,0,10.0,63.5,0,0.6183,High Risk,10.0
ACT,15 to 18,Other Physical,Core,28,5000,40.0,6,72000,4.6667,60.0,2571,0.4704,Medium Risk,14.0
ACT,15 to 18,Other Sensory/Speech,Capacity Building,10,19000,58.0,1,0,10.0,42.0,0,0.5918,High Risk,10.0
ACT,15 to 18,Other Sensory/Speech,Capital,10,19000,60.0,1,0,10.0,40.0,0,0.5712,High Risk,10.0
ACT,15 to 18,Other Sensory/Speech,Core,10,83000,76.0,1,0,10.0,24.0,0,0.5224,Medium Risk,10.0
ACT,15 to 18,Psychosocial Disability,Capacity Building,10,19000,50.0,3,0,3.3333,50.0,0,0.465,Medium Risk,10.0
