state,age_group,disability_type,support_class,participant_count,average_support_budget,utilisation_rate,active_provider_count,participant_to_provider_ratio,utilisation_gap,payment_per_participant,access_risk,recommended_support
ACT,0 to 8,ABI,Capacity Building,10,19000.0,58.0,8,1.25,42.0,0.0,Medium Risk,Capacity Building Support Review
ACT,0 to 8,ABI,Core,10,83000.0,76.0,6,1.6667,24.0,0.0,Medium Risk,Core Support Monitoring
ACT,0 to 8,Autism,Capacity Building,808,23000.0,67.0,28,28.8571,33.0,13776.0,Medium Risk,Capacity Building - Improved Daily Living
ACT,0 to 8,Autism,Capital,29,5000.0,70.0,15,1.9333,30.0,2862.0,Medium Risk,Capacity Building - Improved Daily Living
ACT,0 to 8,Autism,Core,739,5000.0,88.0,2,369.5,12.0,6009.0,High Risk,Provider Availability Review
ACT,0 to 8,Cerebral Palsy,Capacity Building,29,27000.0,61.0,2,14.5,39.0,20345.0,Medium Risk,Provider Availability Review
ACT,0 to 8,Cerebral Palsy,Capital,21,22000.0,38.0,2,10.5,62.0,14429.0,High Risk,Provider Availability Review
ACT,0 to 8,Cerebral Palsy,Core,29,5000.0,29.0,2,14.5,71.0,18966.0,High Risk,Provider Availability Review
ACT,0 to 8,Developmental Delay,Capacity Building,1085,20000.0,58.0,22,49.3182,42.0,9865.0,Medium Risk,Capacity Building - Improved Daily Living
ACT,0 to 8,Developmental Delay,Capital,40,15000.0,100.0,12,3.3333,0.0,8850.0,Low Risk,Capacity Building - Improved Daily Living
ACT,0 to 8,Developmental Delay,Core,986,1000.0,64.0,1,986.0,36.0,1054.0,High Risk,Provider Availability Review
ACT,0 to 8,Down Syndrome,Capacity Building,29,27000.0,73.0,2,14.5,27.0,12483.0,Medium Risk,Provider Availability Review
ACT,0 to 8,Down Syndrome,Capital,10,19000.0,81.5,2,5.0,18.5,0.0,Medium Risk,Provider Availability Review
ACT,0 to 8,Down Syndrome,Core,21,11000.0,90.0,1,21.0,10.0,20714.0,Medium Risk,Provider Availability Review
ACT,0 to 8,Global Developmental Delay,Capacity Building,269,22000.0,70.0,13,20.6923,30.0,11710.0,Medium Risk,Capacity Building - Improved Daily Living
ACT,0 to 8,Global Developmental Delay,Capital,23,15000.0,100.0,13,1.7692,0.0,7870.0,Low Risk,Capacity Building - Improved Daily Living
ACT,0 to 8,Global Developmental Delay,Core,256,7000.0,58.0,13,19.6923,42.0,2539.0,Medium Risk,Capacity Building - Improved Daily Living
ACT,0 to 8,Hearing Impairment,Capacity Building,86,17000.0,49.0,3,28.6667,51.0,6884.0,High Risk,Provider Availability Review
ACT,0 to 8,Hearing Impairment,Capital,10,9500.0,39.0,2,5.0,61.0,0.0,High Risk,Provider Availability Review
ACT,0 to 8,Hearing Impairment,Core,86,2000.0,29.0,1,86.0,71.0,628.0,High Risk,Support Coordination / Plan Management Review
ACT,0 to 8,Intellectual Disability,Capacity Building,66,28000.0,71.0,10,6.6,29.0,17561.0,Medium Risk,Capacity Building - Social and Community Participation
ACT,0 to 8,Intellectual Disability,Capital,23,11000.0,54.0,10,2.3,46.0,4261.0,Medium Risk,Capacity Building - Social and Community Participation
ACT,0 to 8,Intellectual Disability,Core,59,18000.0,70.0,10,5.9,30.0,14339.0,Medium Risk,Capacity Building - Social and Community Participation
ACT,0 to 8,Other,Capacity Building,20,22000.0,53.0,8,2.5,47.0,11450.0,Medium Risk,Capacity Building Support Review
ACT,0 to 8,Other,Capital,10,12500.0,57.5,1,10.0,42.5,0.0,Medium Risk,Provider Availability Review
ACT,0 to 8,Other,Core,21,3000.0,62.0,6,3.5,38.0,0.0,Medium Risk,Core Support Monitoring
ACT,0 to 8,Other Neurological,Capacity Building,20,22000.0,47.0,3,6.6667,53.0,6600.0,High Risk,Provider Availability Review
ACT,0 to 8,Other Neurological,Capital,10,18500.0,45.5,1,10.0,54.5,0.0,High Risk,Provider Availability Review
ACT,0 to 8,Other Neurological,Core,12,15000.0,44.0,2,6.0,56.0,0.0,High Risk,Provider Availability Review
ACT,0 to 8,Other Physical,Capacity Building,10,19000.0,58.0,8,1.25,42.0,0.0,Medium Risk,Assistive Technology / Transport Support
ACT,0 to 8,Other Physical,Capital,10,19000.0,60.0,1,10.0,40.0,0.0,Medium Risk,Provider Availability Review
ACT,0 to 8,Other Physical,Core,10,83000.0,76.0,6,1.6667,24.0,0.0,Medium Risk,Assistive Technology / Transport Support
ACT,0 to 8,Other Sensory/Speech,Capacity Building,10,19000.0,58.0,8,1.25,42.0,0.0,Medium Risk,Assistive Technology and Communication Support
ACT,0 to 8,Other Sensory/Speech,Core,10,83000.0,76.0,6,1.6667,24.0,0.0,Medium Risk,Assistive Technology and Communication Support
ACT,0 to 8,Stroke,Capacity Building,10,19000.0,58.0,8,1.25,42.0,0.0,Medium Risk,Therapy and Daily Living Support Review
ACT,0 to 8,Stroke,Core,10,83000.0,76.0,6,1.6667,24.0,0.0,Medium Risk,Therapy and Daily Living Support Review
ACT,0 to 8,Visual Impairment,Capacity Building,10,19000.0,58.0,2,5.0,42.0,0.0,Medium Risk,Provider Availability Review
ACT,0 to 8,Visual Impairment,Capital,10,19000.0,60.0,2,5.0,40.0,0.0,Medium Risk,Provider Availability Review
ACT,0 to 8,Visual Impairment,Core,10,83000.0,76.0,2,5.0,24.0,0.0,Medium Risk,Provider Availability Review
ACT,15 to 18,ABI,Capacity Building,10,19000.0,58.0,1,10.0,42.0,0.0,Medium Risk,Provider Availability Review
ACT,15 to 18,ABI,Capital,10,19000.0,60.0,1,10.0,40.0,0.0,Medium Risk,Provider Availability Review
ACT,15 to 18,ABI,Core,10,83000.0,76.0,1,10.0,24.0,0.0,Medium Risk,Provider Availability Review
ACT,15 to 18,Autism,Capacity Building,891,18000.0,46.0,41,21.7317,54.0,7539.0,Medium Risk,Capacity Building - Improved Daily Living
ACT,15 to 18,Autism,Capital,22,9000.0,100.0,1,22.0,0.0,0.0,Medium Risk,Provider Availability Review
ACT,15 to 18,Autism,Core,632,24000.0,72.0,5,126.4,28.0,18638.0,High Risk,Provider Availability Review
ACT,15 to 18,Cerebral Palsy,Capacity Building,31,22000.0,62.0,6,5.1667,38.0,13742.0,Medium Risk,Capacity Building Support Review
ACT,15 to 18,Cerebral Palsy,Capital,22,22000.0,72.0,6,3.6667,28.0,11955.0,Medium Risk,Plan Utilisation Support
ACT,15 to 18,Cerebral Palsy,Core,28,70000.0,92.0,6,4.6667,8.0,85143.0,Medium Risk,Core Support Monitoring
ACT,15 to 18,Down Syndrome,Capacity Building,16,20000.0,76.0,2,8.0,24.0,13000.0,Medium Risk,Provider Availability Review
ACT,15 to 18,Down Syndrome,Capital,10,28000.0,81.5,2,5.0,18.5,0.0,Medium Risk,Provider Availability Review
ACT,15 to 18,Down Syndrome,Core,16,36000.0,87.0,1,16.0,13.0,36188.0,Medium Risk,Provider Availability Review
ACT,15 to 18,Hearing Impairment,Capacity Building,46,7000.0,30.0,1,46.0,70.0,2217.0,High Risk,Provider Availability Review
ACT,15 to 18,Hearing Impairment,Capital,10,4500.0,34.5,1,10.0,65.5,0.0,High Risk,Provider Availability Review
ACT,15 to 18,Hearing Impairment,Core,44,2000.0,39.0,1,44.0,61.0,864.0,High Risk,Provider Availability Review
ACT,15 to 18,Intellectual Disability,Capacity Building,190,22000.0,55.0,33,5.7576,45.0,10900.0,Medium Risk,Capacity Building - Social and Community Participation
ACT,15 to 18,Intellectual Disability,Capital,16,17000.0,35.0,18,0.8889,65.0,0.0,Medium Risk,Capacity Building - Social and Community Participation
ACT,15 to 18,Intellectual Disability,Core,153,33000.0,65.0,3,51.0,35.0,24824.0,High Risk,Provider Availability Review
ACT,15 to 18,Other,Capacity Building,10,19000.0,58.0,8,1.25,42.0,0.0,Medium Risk,Capacity Building Support Review
ACT,15 to 18,Other,Core,10,83000.0,76.0,6,1.6667,24.0,0.0,Medium Risk,Core Support Monitoring
ACT,15 to 18,Other Neurological,Capacity Building,17,19000.0,49.0,3,5.6667,51.0,7588.0,High Risk,Provider Availability Review
