RprtDt,StateCd,SrvcDstrctNm,DsbltyGrpNm,AgeBnd,SuppClass,PrvdrCnt
31DEC2025,ALL,ALL,ALL,ALL,ALL,10335
31DEC2025,ACT,ALL,ALL,ALL,ALL,334
31DEC2025,NSW,ALL,ALL,ALL,ALL,4558
31DEC2025,NT,ALL,ALL,ALL,ALL,296
31DEC2025,OT,ALL,ALL,ALL,ALL,7
31DEC2025,QLD,ALL,ALL,ALL,ALL,2594
31DEC2025,SA,ALL,ALL,ALL,ALL,934
31DEC2025,State_Missing,ALL,ALL,ALL,ALL,42
31DEC2025,TAS,ALL,ALL,ALL,ALL,355
31DEC2025,VIC,ALL,ALL,ALL,ALL,2945
31DEC2025,WA,ALL,ALL,ALL,ALL,1279
31DEC2025,ALL,ACT,ALL,ALL,ALL,332
31DEC2025,ALL,Adelaide Hills,ALL,ALL,ALL,124
31DEC2025,ALL,Barkly,ALL,ALL,ALL,29
31DEC2025,ALL,"Barossa, Light and Lower North",ALL,ALL,ALL,152
31DEC2025,ALL,Barwon,ALL,ALL,ALL,442
31DEC2025,ALL,Bayside Peninsula,ALL,ALL,ALL,886
31DEC2025,ALL,Beenleigh,ALL,ALL,ALL,882
31DEC2025,ALL,Brimbank Melton,ALL,ALL,ALL,822
31DEC2025,ALL,Brisbane,ALL,ALL,ALL,1164
31DEC2025,ALL,Bundaberg,ALL,ALL,ALL,157
31DEC2025,ALL,Caboolture/Strathpine,ALL,ALL,ALL,767
31DEC2025,ALL,Cairns,ALL,ALL,ALL,234
31DEC2025,ALL,Central Australia,ALL,ALL,ALL,106
31DEC2025,ALL,Central Coast,ALL,ALL,ALL,575
31DEC2025,ALL,Central Highlands,ALL,ALL,ALL,367
31DEC2025,ALL,Central North Metro,ALL,ALL,ALL,529
31DEC2025,ALL,Central South Metro,ALL,ALL,ALL,525
31DEC2025,ALL,Darwin Remote,ALL,ALL,ALL,40
31DEC2025,ALL,Darwin Urban,ALL,ALL,ALL,206
31DEC2025,ALL,East Arnhem,ALL,ALL,ALL,31
31DEC2025,ALL,Eastern Adelaide,ALL,ALL,ALL,305
31DEC2025,ALL,Eyre and Western,ALL,ALL,ALL,67
31DEC2025,ALL,Far North (SA),ALL,ALL,ALL,50
31DEC2025,ALL,Far West,ALL,ALL,ALL,51
31DEC2025,ALL,Fleurieu and Kangaroo Island,ALL,ALL,ALL,104
31DEC2025,ALL,Goldfields-Esperance,ALL,ALL,ALL,44
31DEC2025,ALL,Goulburn,ALL,ALL,ALL,327
31DEC2025,ALL,Great Southern,ALL,ALL,ALL,65
31DEC2025,ALL,Hume Moreland,ALL,ALL,ALL,903
31DEC2025,ALL,Hunter New England,ALL,ALL,ALL,1123
31DEC2025,ALL,Illawarra Shoalhaven,ALL,ALL,ALL,455
31DEC2025,ALL,Inner East Melbourne,ALL,ALL,ALL,676
31DEC2025,ALL,Inner Gippsland,ALL,ALL,ALL,288
31DEC2025,ALL,Ipswich,ALL,ALL,ALL,800
31DEC2025,ALL,Katherine,ALL,ALL,ALL,48
31DEC2025,ALL,Kimberley-Pilbara,ALL,ALL,ALL,76
31DEC2025,ALL,Limestone Coast,ALL,ALL,ALL,68
31DEC2025,ALL,Loddon,ALL,ALL,ALL,332
31DEC2025,ALL,Mackay,ALL,ALL,ALL,155
31DEC2025,ALL,Mallee,ALL,ALL,ALL,95
31DEC2025,ALL,Maroochydore,ALL,ALL,ALL,462
31DEC2025,ALL,Maryborough,ALL,ALL,ALL,215
31DEC2025,ALL,Mid North Coast,ALL,ALL,ALL,271
31DEC2025,ALL,Midwest-Gascoyne,ALL,ALL,ALL,71
31DEC2025,ALL,Murray and Mallee,ALL,ALL,ALL,114
31DEC2025,ALL,Murrumbidgee,ALL,ALL,ALL,281
31DEC2025,ALL,Nepean Blue Mountains,ALL,ALL,ALL,984
31DEC2025,ALL,North East Melbourne,ALL,ALL,ALL,1029
31DEC2025,ALL,North East Metro,ALL,ALL,ALL,646
31DEC2025,ALL,North Metro,ALL,ALL,ALL,492
31DEC2025,ALL,North Sydney,ALL,ALL,ALL,834
31DEC2025,ALL,Northern Adelaide,ALL,ALL,ALL,662
31DEC2025,ALL,Northern NSW,ALL,ALL,ALL,296
31DEC2025,ALL,Other,ALL,ALL,ALL,1170
31DEC2025,ALL,Outer East Melbourne,ALL,ALL,ALL,573
31DEC2025,ALL,Outer Gippsland,ALL,ALL,ALL,145
31DEC2025,ALL,Ovens Murray,ALL,ALL,ALL,184
31DEC2025,ALL,Robina,ALL,ALL,ALL,649
31DEC2025,ALL,Rockhampton,ALL,ALL,ALL,234
31DEC2025,ALL,South East Metro,ALL,ALL,ALL,610
31DEC2025,ALL,South Eastern Sydney,ALL,ALL,ALL,990
31DEC2025,ALL,South Metro,ALL,ALL,ALL,606
31DEC2025,ALL,South West,ALL,ALL,ALL,194
31DEC2025,ALL,South Western Sydney,ALL,ALL,ALL,2090
31DEC2025,ALL,Southern Adelaide,ALL,ALL,ALL,433
31DEC2025,ALL,Southern Melbourne,ALL,ALL,ALL,873
31DEC2025,ALL,Southern NSW,ALL,ALL,ALL,242
31DEC2025,ALL,Sydney,ALL,ALL,ALL,937
31DEC2025,ALL,TAS North,ALL,ALL,ALL,130
31DEC2025,ALL,TAS North West,ALL,ALL,ALL,132
31DEC2025,ALL,TAS South East,ALL,ALL,ALL,193
31DEC2025,ALL,TAS South West,ALL,ALL,ALL,182
31DEC2025,ALL,Toowoomba,ALL,ALL,ALL,399
31DEC2025,ALL,Townsville,ALL,ALL,ALL,315
31DEC2025,ALL,Western Adelaide,ALL,ALL,ALL,326
31DEC2025,ALL,Western District,ALL,ALL,ALL,162
31DEC2025,ALL,Western Melbourne,ALL,ALL,ALL,987
31DEC2025,ALL,Western NSW,ALL,ALL,ALL,363
31DEC2025,ALL,Western Sydney,ALL,ALL,ALL,1881
31DEC2025,ALL,Wheat Belt,ALL,ALL,ALL,106
31DEC2025,ALL,Yorke and Mid North,ALL,ALL,ALL,92
31DEC2025,ALL,ALL,ABI,ALL,ALL,3883
31DEC2025,ALL,ALL,Autism,ALL,ALL,5960
31DEC2025,ALL,ALL,Cerebral Palsy,ALL,ALL,3147
31DEC2025,ALL,ALL,Developmental delay,ALL,ALL,948
31DEC2025,ALL,ALL,Down Syndrome,ALL,ALL,2500
31DEC2025,ALL,ALL,DsbltyGrp_Missing,ALL,ALL,97
31DEC2025,ALL,ALL,Global developmental delay,ALL,ALL,698
31DEC2025,ALL,ALL,Hearing Impairment,ALL,ALL,878
31DEC2025,ALL,ALL,Intellectual Disability,ALL,ALL,6868
31DEC2025,ALL,ALL,Multiple Sclerosis,ALL,ALL,1542
31DEC2025,ALL,ALL,Other,ALL,ALL,1926
31DEC2025,ALL,ALL,Other Neurological,ALL,ALL,3738
31DEC2025,ALL,ALL,Other Physical,ALL,ALL,2426
31DEC2025,ALL,ALL,Other Sensory/Speech,ALL,ALL,194
31DEC2025,ALL,ALL,Psychosocial disability,ALL,ALL,5587
31DEC2025,ALL,ALL,Spinal Cord Injury,ALL,ALL,1292
31DEC2025,ALL,ALL,Stroke,ALL,ALL,2408
31DEC2025,ALL,ALL,Visual Impairment,ALL,ALL,1283
31DEC2025,ALL,ALL,ALL,0 to 8,ALL,1951
31DEC2025,ALL,ALL,ALL,15 to 18,ALL,3227
31DEC2025,ALL,ALL,ALL,19 to 24,ALL,4437
31DEC2025,ALL,ALL,ALL,25 to 34,ALL,5621
31DEC2025,ALL,ALL,ALL,35 to 44,ALL,5667
31DEC2025,ALL,ALL,ALL,45 to 54,ALL,5880
31DEC2025,ALL,ALL,ALL,55 to 64,ALL,6160
31DEC2025,ALL,ALL,ALL,65+,ALL,4942
31DEC2025,ALL,ALL,ALL,9 to 14,ALL,3317
31DEC2025,ALL,ALL,ALL,Age_Missing,ALL,40
31DEC2025,ALL,ALL,ALL,ALL,Capacity Building,6472
31DEC2025,ALL,ALL,ALL,ALL,Capital,900
31DEC2025,ALL,ALL,ALL,ALL,Core,6506
31DEC2025,ACT,ACT,ALL,ALL,ALL,332
31DEC2025,ACT,Other,ALL,ALL,ALL,24
31DEC2025,NSW,Central Coast,ALL,ALL,ALL,575
31DEC2025,NSW,Far West,ALL,ALL,ALL,51
31DEC2025,NSW,Hunter New England,ALL,ALL,ALL,1123
31DEC2025,NSW,Illawarra Shoalhaven,ALL,ALL,ALL,455
31DEC2025,NSW,Mid North Coast,ALL,ALL,ALL,271
31DEC2025,NSW,Murrumbidgee,ALL,ALL,ALL,281
31DEC2025,NSW,Nepean Blue Mountains,ALL,ALL,ALL,984
31DEC2025,NSW,North Sydney,ALL,ALL,ALL,834
31DEC2025,NSW,Northern NSW,ALL,ALL,ALL,296
31DEC2025,NSW,Other,ALL,ALL,ALL,421
31DEC2025,NSW,South Eastern Sydney,ALL,ALL,ALL,990
31DEC2025,NSW,South Western Sydney,ALL,ALL,ALL,2090
31DEC2025,NSW,Southern NSW,ALL,ALL,ALL,242
31DEC2025,NSW,Sydney,ALL,ALL,ALL,937
31DEC2025,NSW,Western NSW,ALL,ALL,ALL,363
31DEC2025,NSW,Western Sydney,ALL,ALL,ALL,1881
31DEC2025,NT,Barkly,ALL,ALL,ALL,29
31DEC2025,NT,Central Australia,ALL,ALL,ALL,106
31DEC2025,NT,Darwin Remote,ALL,ALL,ALL,40
31DEC2025,NT,Darwin Urban,ALL,ALL,ALL,206
31DEC2025,NT,East Arnhem,ALL,ALL,ALL,31
31DEC2025,NT,Katherine,ALL,ALL,ALL,48
31DEC2025,NT,Other,ALL,ALL,ALL,53
31DEC2025,OT,Other,ALL,ALL,ALL,7
31DEC2025,QLD,Beenleigh,ALL,ALL,ALL,882
31DEC2025,QLD,Brisbane,ALL,ALL,ALL,1164
31DEC2025,QLD,Bundaberg,ALL,ALL,ALL,157
31DEC2025,QLD,Caboolture/Strathpine,ALL,ALL,ALL,767
31DEC2025,QLD,Cairns,ALL,ALL,ALL,234
31DEC2025,QLD,Ipswich,ALL,ALL,ALL,800
31DEC2025,QLD,Mackay,ALL,ALL,ALL,155
31DEC2025,QLD,Maroochydore,ALL,ALL,ALL,462
31DEC2025,QLD,Maryborough,ALL,ALL,ALL,215
31DEC2025,QLD,Other,ALL,ALL,ALL,251
31DEC2025,QLD,Robina,ALL,ALL,ALL,649
31DEC2025,QLD,Rockhampton,ALL,ALL,ALL,234
31DEC2025,QLD,Toowoomba,ALL,ALL,ALL,399
31DEC2025,QLD,Townsville,ALL,ALL,ALL,315
31DEC2025,SA,Adelaide Hills,ALL,ALL,ALL,124
31DEC2025,SA,"Barossa, Light and Lower North",ALL,ALL,ALL,152
31DEC2025,SA,Eastern Adelaide,ALL,ALL,ALL,305
31DEC2025,SA,Eyre and Western,ALL,ALL,ALL,67
31DEC2025,SA,Far North (SA),ALL,ALL,ALL,50
31DEC2025,SA,Fleurieu and Kangaroo Island,ALL,ALL,ALL,104
31DEC2025,SA,Limestone Coast,ALL,ALL,ALL,68
31DEC2025,SA,Murray and Mallee,ALL,ALL,ALL,114
31DEC2025,SA,Northern Adelaide,ALL,ALL,ALL,662
31DEC2025,SA,Other,ALL,ALL,ALL,99
31DEC2025,SA,Southern Adelaide,ALL,ALL,ALL,433
31DEC2025,SA,Western Adelaide,ALL,ALL,ALL,326
31DEC2025,SA,Yorke and Mid North,ALL,ALL,ALL,92
31DEC2025,State_Missing,Other,ALL,ALL,ALL,42
31DEC2025,TAS,Other,ALL,ALL,ALL,31
31DEC2025,TAS,TAS North,ALL,ALL,ALL,130
31DEC2025,TAS,TAS North West,ALL,ALL,ALL,132
31DEC2025,TAS,TAS South East,ALL,ALL,ALL,193
31DEC2025,TAS,TAS South West,ALL,ALL,ALL,182
31DEC2025,VIC,Barwon,ALL,ALL,ALL,442
31DEC2025,VIC,Bayside Peninsula,ALL,ALL,ALL,886
31DEC2025,VIC,Brimbank Melton,ALL,ALL,ALL,822
31DEC2025,VIC,Central Highlands,ALL,ALL,ALL,367
31DEC2025,VIC,Goulburn,ALL,ALL,ALL,327
31DEC2025,VIC,Hume Moreland,ALL,ALL,ALL,903
31DEC2025,VIC,Inner East Melbourne,ALL,ALL,ALL,676
31DEC2025,VIC,Inner Gippsland,ALL,ALL,ALL,288
31DEC2025,VIC,Loddon,ALL,ALL,ALL,332
31DEC2025,VIC,Mallee,ALL,ALL,ALL,95
31DEC2025,VIC,North East Melbourne,ALL,ALL,ALL,1029
31DEC2025,VIC,Other,ALL,ALL,ALL,249
31DEC2025,VIC,Outer East Melbourne,ALL,ALL,ALL,573
31DEC2025,VIC,Outer Gippsland,ALL,ALL,ALL,145
31DEC2025,VIC,Ovens Murray,ALL,ALL,ALL,184
31DEC2025,VIC,Southern Melbourne,ALL,ALL,ALL,873
31DEC2025,VIC,Western District,ALL,ALL,ALL,162
