RprtDt,StateCd,SrvcDstrctNm,DsbltyGrpNm,AgeBnd,SuppClass,AvgAnlsdCmtdSuppBdgt,ActvPrtcpnt
31DEC2025,ALL,ALL,ABI,0 to 8,ALL,"117,000.00",235
31DEC2025,ALL,ALL,ABI,0 to 8,Capital,"28,000.00",131
31DEC2025,ALL,ALL,ABI,0 to 8,Core,"66,000.00",221
31DEC2025,ALL,ALL,ABI,0 to 8,CapacityBuilding,"40,000.00",233
31DEC2025,ALL,ALL,Autism,0 to 8,ALL,"30,000.00",59848
31DEC2025,ALL,ALL,Autism,0 to 8,Capital,"6,000.00",3691
31DEC2025,ALL,ALL,Autism,0 to 8,Core,"6,000.00",51146
31DEC2025,ALL,ALL,Autism,0 to 8,CapacityBuilding,"24,000.00",59761
31DEC2025,ALL,ALL,Cerebral Palsy,0 to 8,ALL,"79,000.00",2311
31DEC2025,ALL,ALL,Cerebral Palsy,0 to 8,Capital,"22,000.00",1602
31DEC2025,ALL,ALL,Cerebral Palsy,0 to 8,Core,"32,000.00",2226
31DEC2025,ALL,ALL,Cerebral Palsy,0 to 8,CapacityBuilding,"33,000.00",2305
31DEC2025,ALL,ALL,Developmental delay,0 to 8,ALL,"22,000.00",69878
31DEC2025,ALL,ALL,Developmental delay,0 to 8,Capital,"10,000.00",<2631
31DEC2025,ALL,ALL,Developmental delay,0 to 8,Core,"2,000.00",<59011
31DEC2025,ALL,ALL,Developmental delay,0 to 8,CapacityBuilding,"21,000.00",69775
31DEC2025,ALL,ALL,Down Syndrome,0 to 8,ALL,"42,000.00",1473
31DEC2025,ALL,ALL,Down Syndrome,0 to 8,Capital,"10,000.00",567
31DEC2025,ALL,ALL,Down Syndrome,0 to 8,Core,"13,000.00",1366
31DEC2025,ALL,ALL,Down Syndrome,0 to 8,CapacityBuilding,"26,000.00",1471
31DEC2025,ALL,ALL,DsbltyGrp_Missing,0 to 8,ALL,"27,000.00",194
31DEC2025,ALL,ALL,DsbltyGrp_Missing,0 to 8,Capital,"14,000.00",17
31DEC2025,ALL,ALL,DsbltyGrp_Missing,0 to 8,Core,"4,000.00",160
31DEC2025,ALL,ALL,DsbltyGrp_Missing,0 to 8,CapacityBuilding,"23,000.00",194
31DEC2025,ALL,ALL,Global developmental delay,0 to 8,ALL,"27,000.00",19167
31DEC2025,ALL,ALL,Global developmental delay,0 to 8,Capital,"13,000.00",<1523
31DEC2025,ALL,ALL,Global developmental delay,0 to 8,Core,"5,000.00",<15536
31DEC2025,ALL,ALL,Global developmental delay,0 to 8,CapacityBuilding,"22,000.00",19137
31DEC2025,ALL,ALL,Hearing Impairment,0 to 8,ALL,"20,000.00",5720
31DEC2025,ALL,ALL,Hearing Impairment,0 to 8,Capital,"10,000.00",219
31DEC2025,ALL,ALL,Hearing Impairment,0 to 8,Core,"3,000.00",5569
31DEC2025,ALL,ALL,Hearing Impairment,0 to 8,CapacityBuilding,"17,000.00",5704
31DEC2025,ALL,ALL,Intellectual Disability,0 to 8,ALL,"53,000.00",4480
31DEC2025,ALL,ALL,Intellectual Disability,0 to 8,Capital,"18,000.00",1272
31DEC2025,ALL,ALL,Intellectual Disability,0 to 8,Core,"22,000.00",4028
31DEC2025,ALL,ALL,Intellectual Disability,0 to 8,CapacityBuilding,"27,000.00",4474
31DEC2025,ALL,ALL,Other,0 to 8,ALL,"28,000.00",1626
31DEC2025,ALL,ALL,Other,0 to 8,Capital,"19,000.00",192
31DEC2025,ALL,ALL,Other,0 to 8,Core,"6,000.00",1311
31DEC2025,ALL,ALL,Other,0 to 8,CapacityBuilding,"21,000.00",1625
31DEC2025,ALL,ALL,Other Neurological,0 to 8,ALL,"83,000.00",690
31DEC2025,ALL,ALL,Other Neurological,0 to 8,Capital,"25,000.00",390
31DEC2025,ALL,ALL,Other Neurological,0 to 8,Core,"38,000.00",651
31DEC2025,ALL,ALL,Other Neurological,0 to 8,CapacityBuilding,"32,000.00",690
31DEC2025,ALL,ALL,Other Physical,0 to 8,ALL,"47,000.00",587
31DEC2025,ALL,ALL,Other Physical,0 to 8,Capital,"21,000.00",245
31DEC2025,ALL,ALL,Other Physical,0 to 8,Core,"16,000.00",540
31DEC2025,ALL,ALL,Other Physical,0 to 8,CapacityBuilding,"23,000.00",586
31DEC2025,ALL,ALL,Other Sensory/Speech,0 to 8,ALL,"20,000.00",111
31DEC2025,ALL,ALL,Other Sensory/Speech,0 to 8,Capital,,<11
31DEC2025,ALL,ALL,Other Sensory/Speech,0 to 8,Core,"2,000.00",<84
31DEC2025,ALL,ALL,Other Sensory/Speech,0 to 8,CapacityBuilding,"19,000.00",111
31DEC2025,ALL,ALL,Psychosocial disability,0 to 8,ALL,"33,000.00",<16
31DEC2025,ALL,ALL,Psychosocial disability,0 to 8,CapacityBuilding,"26,000.00",<15
31DEC2025,ALL,ALL,Psychosocial disability,0 to 8,Core,,<11
31DEC2025,ALL,ALL,Spinal Cord Injury,0 to 8,ALL,"194,000.00",<30
31DEC2025,ALL,ALL,Spinal Cord Injury,0 to 8,CapacityBuilding,"37,000.00",<30
31DEC2025,ALL,ALL,Spinal Cord Injury,0 to 8,Capital,"34,000.00",<20
31DEC2025,ALL,ALL,Spinal Cord Injury,0 to 8,Core,"128,000.00",<30
31DEC2025,ALL,ALL,Stroke,0 to 8,ALL,"37,000.00",42
31DEC2025,ALL,ALL,Stroke,0 to 8,Capital,"15,000.00",<16
31DEC2025,ALL,ALL,Stroke,0 to 8,Core,"7,000.00",<47
31DEC2025,ALL,ALL,Stroke,0 to 8,CapacityBuilding,"25,000.00",42
31DEC2025,ALL,ALL,Visual Impairment,0 to 8,ALL,"30,000.00",363
31DEC2025,ALL,ALL,Visual Impairment,0 to 8,Capital,"10,000.00",92
31DEC2025,ALL,ALL,Visual Impairment,0 to 8,Core,"6,000.00",347
31DEC2025,ALL,ALL,Visual Impairment,0 to 8,CapacityBuilding,"22,000.00",360
31DEC2025,ALL,ALL,ABI,15 to 18,ALL,"108,000.00",415
31DEC2025,ALL,ALL,ABI,15 to 18,Capital,"18,000.00",139
31DEC2025,ALL,ALL,ABI,15 to 18,Core,"78,000.00",387
31DEC2025,ALL,ALL,ABI,15 to 18,CapacityBuilding,"28,000.00",405
31DEC2025,ALL,ALL,Autism,15 to 18,ALL,"41,000.00",58656
31DEC2025,ALL,ALL,Autism,15 to 18,Capital,"8,000.00",1309
31DEC2025,ALL,ALL,Autism,15 to 18,Core,"25,000.00",48326
31DEC2025,ALL,ALL,Autism,15 to 18,CapacityBuilding,"20,000.00",58377
31DEC2025,ALL,ALL,Cerebral Palsy,15 to 18,ALL,"123,000.00",1950
31DEC2025,ALL,ALL,Cerebral Palsy,15 to 18,Capital,"23,000.00",1299
31DEC2025,ALL,ALL,Cerebral Palsy,15 to 18,Core,"89,000.00",1849
31DEC2025,ALL,ALL,Cerebral Palsy,15 to 18,CapacityBuilding,"24,000.00",1941
31DEC2025,ALL,ALL,Developmental delay,15 to 18,ALL,,<11
31DEC2025,ALL,ALL,Developmental delay,15 to 18,CapacityBuilding,,<11
31DEC2025,ALL,ALL,Developmental delay,15 to 18,Core,,<11
31DEC2025,ALL,ALL,Down Syndrome,15 to 18,ALL,"78,000.00",906
31DEC2025,ALL,ALL,Down Syndrome,15 to 18,Capital,"8,000.00",190
31DEC2025,ALL,ALL,Down Syndrome,15 to 18,Core,"53,000.00",880
31DEC2025,ALL,ALL,Down Syndrome,15 to 18,CapacityBuilding,"25,000.00",904
31DEC2025,ALL,ALL,DsbltyGrp_Missing,15 to 18,ALL,"63,000.00",21
31DEC2025,ALL,ALL,DsbltyGrp_Missing,15 to 18,Capital,,<11
31DEC2025,ALL,ALL,DsbltyGrp_Missing,15 to 18,Core,"38,000.00",<23
31DEC2025,ALL,ALL,DsbltyGrp_Missing,15 to 18,CapacityBuilding,"26,000.00",21
31DEC2025,ALL,ALL,Global developmental delay,15 to 18,ALL,,<11
31DEC2025,ALL,ALL,Global developmental delay,15 to 18,CapacityBuilding,,<11
31DEC2025,ALL,ALL,Global developmental delay,15 to 18,Core,,<11
31DEC2025,ALL,ALL,Hearing Impairment,15 to 18,ALL,"12,000.00",2557
31DEC2025,ALL,ALL,Hearing Impairment,15 to 18,Capital,"2,000.00",141
31DEC2025,ALL,ALL,Hearing Impairment,15 to 18,CapacityBuilding,"8,000.00",2303
31DEC2025,ALL,ALL,Hearing Impairment,15 to 18,Core,"4,000.00",2449
31DEC2025,ALL,ALL,Intellectual Disability,15 to 18,ALL,"71,000.00",10432
31DEC2025,ALL,ALL,Intellectual Disability,15 to 18,Capital,"15,000.00",1079
31DEC2025,ALL,ALL,Intellectual Disability,15 to 18,Core,"50,000.00",9183
31DEC2025,ALL,ALL,Intellectual Disability,15 to 18,CapacityBuilding,"26,000.00",10393
31DEC2025,ALL,ALL,Multiple Sclerosis,15 to 18,ALL,"44,000.00",<21
31DEC2025,ALL,ALL,Multiple Sclerosis,15 to 18,CapacityBuilding,"21,000.00",<14
31DEC2025,ALL,ALL,Multiple Sclerosis,15 to 18,Capital,,<11
31DEC2025,ALL,ALL,Multiple Sclerosis,15 to 18,Core,"23,000.00",<21
31DEC2025,ALL,ALL,Other,15 to 18,ALL,"53,000.00",323
31DEC2025,ALL,ALL,Other,15 to 18,Capital,"28,000.00",90
31DEC2025,ALL,ALL,Other,15 to 18,Core,"33,000.00",269
31DEC2025,ALL,ALL,Other,15 to 18,CapacityBuilding,"18,000.00",319
31DEC2025,ALL,ALL,Other Neurological,15 to 18,ALL,"104,000.00",969
31DEC2025,ALL,ALL,Other Neurological,15 to 18,Capital,"25,000.00",484
31DEC2025,ALL,ALL,Other Neurological,15 to 18,Core,"73,000.00",902
31DEC2025,ALL,ALL,Other Neurological,15 to 18,CapacityBuilding,"24,000.00",962
31DEC2025,ALL,ALL,Other Physical,15 to 18,ALL,"59,000.00",722
31DEC2025,ALL,ALL,Other Physical,15 to 18,Capital,"22,000.00",369
31DEC2025,ALL,ALL,Other Physical,15 to 18,Core,"33,000.00",668
31DEC2025,ALL,ALL,Other Physical,15 to 18,CapacityBuilding,"18,000.00",716
31DEC2025,ALL,ALL,Other Sensory/Speech,15 to 18,ALL,"16,000.00",497
31DEC2025,ALL,ALL,Other Sensory/Speech,15 to 18,Capital,,<11
31DEC2025,ALL,ALL,Other Sensory/Speech,15 to 18,Core,"6,000.00",<281
31DEC2025,ALL,ALL,Other Sensory/Speech,15 to 18,CapacityBuilding,"13,000.00",478
31DEC2025,ALL,ALL,Psychosocial disability,15 to 18,ALL,"91,000.00",208
31DEC2025,ALL,ALL,Psychosocial disability,15 to 18,Capital,,<11
31DEC2025,ALL,ALL,Psychosocial disability,15 to 18,Core,"76,000.00",<175
31DEC2025,ALL,ALL,Psychosocial disability,15 to 18,CapacityBuilding,"30,000.00",204
31DEC2025,ALL,ALL,Spinal Cord Injury,15 to 18,ALL,"230,000.00",66
31DEC2025,ALL,ALL,Spinal Cord Injury,15 to 18,Capital,"35,000.00",54
31DEC2025,ALL,ALL,Spinal Cord Injury,15 to 18,CapacityBuilding,"32,000.00",63
31DEC2025,ALL,ALL,Spinal Cord Injury,15 to 18,Core,"179,000.00",63
31DEC2025,ALL,ALL,Stroke,15 to 18,ALL,"67,000.00",45
31DEC2025,ALL,ALL,Stroke,15 to 18,Capital,"14,000.00",<24
31DEC2025,ALL,ALL,Stroke,15 to 18,Core,"34,000.00",<51
31DEC2025,ALL,ALL,Stroke,15 to 18,CapacityBuilding,"29,000.00",45
31DEC2025,ALL,ALL,Visual Impairment,15 to 18,ALL,"25,000.00",540
31DEC2025,ALL,ALL,Visual Impairment,15 to 18,Capital,"8,000.00",107
31DEC2025,ALL,ALL,Visual Impairment,15 to 18,Core,"11,000.00",500
31DEC2025,ALL,ALL,Visual Impairment,15 to 18,CapacityBuilding,"13,000.00",526
31DEC2025,ALL,ALL,ABI,19 to 24,ALL,"166,000.00",770
31DEC2025,ALL,ALL,ABI,19 to 24,Capital,"23,000.00",193
31DEC2025,ALL,ALL,ABI,19 to 24,Core,"140,000.00",725
31DEC2025,ALL,ALL,ABI,19 to 24,CapacityBuilding,"29,000.00",728
31DEC2025,ALL,ALL,Autism,19 to 24,ALL,"81,000.00",42277
31DEC2025,ALL,ALL,Autism,19 to 24,Capital,"18,000.00",1376
31DEC2025,ALL,ALL,Autism,19 to 24,Core,"63,000.00",37828
31DEC2025,ALL,ALL,Autism,19 to 24,CapacityBuilding,"24,000.00",41817
31DEC2025,ALL,ALL,Cerebral Palsy,19 to 24,ALL,"218,000.00",2215
31DEC2025,ALL,ALL,Cerebral Palsy,19 to 24,Capital,"23,000.00",1430
31DEC2025,ALL,ALL,Cerebral Palsy,19 to 24,Core,"180,000.00",2154
31DEC2025,ALL,ALL,Cerebral Palsy,19 to 24,CapacityBuilding,"28,000.00",2206
31DEC2025,ALL,ALL,Developmental delay,19 to 24,ALL,,<11
31DEC2025,ALL,ALL,Developmental delay,19 to 24,CapacityBuilding,,<11
31DEC2025,ALL,ALL,Down Syndrome,19 to 24,ALL,"158,000.00",1308
31DEC2025,ALL,ALL,Down Syndrome,19 to 24,Capital,"10,000.00",211
31DEC2025,ALL,ALL,Down Syndrome,19 to 24,Core,"129,000.00",1302
31DEC2025,ALL,ALL,Down Syndrome,19 to 24,CapacityBuilding,"28,000.00",1304
31DEC2025,ALL,ALL,DsbltyGrp_Missing,19 to 24,ALL,"90,000.00",<20
31DEC2025,ALL,ALL,DsbltyGrp_Missing,19 to 24,CapacityBuilding,"25,000.00",<17
31DEC2025,ALL,ALL,DsbltyGrp_Missing,19 to 24,Capital,,<11
31DEC2025,ALL,ALL,DsbltyGrp_Missing,19 to 24,Core,"74,000.00",<16
31DEC2025,ALL,ALL,Hearing Impairment,19 to 24,ALL,"15,000.00",2669
