RprtDt,SuppClass,SuppCatNm,SuppItemNmbr,SuppItemDesc,RsdsInStateCd,RsdsInSrvcDstrctNm,NDISDsbltyGrpNm,NDIAAgeBnd,PmtAmt,CountOfParticipants
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,ALL,ALL,9028315000,737282
31-Dec-25,Capital,ALL,ALL,ALL,ALL,ALL,ALL,ALL,1419899000,86369
31-Dec-25,Core,ALL,ALL,ALL,ALL,ALL,ALL,ALL,38509796000,552928
31-Dec-25,Missing,ALL,ALL,ALL,ALL,ALL,ALL,ALL,3716000,290973
31-Dec-25,Capital,Assistive Technology,ALL,ALL,ALL,ALL,ALL,ALL,789391000,75596
31-Dec-25,Capacity Building,CB Choice and Control,ALL,ALL,ALL,ALL,ALL,ALL,645490000,530301
31-Dec-25,Capacity Building,CB Daily Activity,ALL,ALL,ALL,ALL,ALL,ALL,5790549000,669675
31-Dec-25,Capacity Building,CB Employment,ALL,ALL,ALL,ALL,ALL,ALL,177050000,21800
31-Dec-25,Capacity Building,CB Health and Wellbeing,ALL,ALL,ALL,ALL,ALL,ALL,26683000,13823
31-Dec-25,Capacity Building,CB Home Living,ALL,ALL,ALL,ALL,ALL,ALL,1216000,639
31-Dec-25,Capacity Building,CB Lifelong Learning,ALL,ALL,ALL,ALL,ALL,ALL,352000,104
31-Dec-25,Capacity Building,CB Relationships,ALL,ALL,ALL,ALL,ALL,ALL,954703000,90569
31-Dec-25,Capacity Building,CB Social Community and Civic Participation,ALL,ALL,ALL,ALL,ALL,ALL,233283000,47955
31-Dec-25,Core,Consumables,ALL,ALL,ALL,ALL,ALL,ALL,620377000,268074
31-Dec-25,Core,Daily Activities,ALL,ALL,ALL,ALL,ALL,ALL,25446659000,408096
31-Dec-25,Capital,Home Modifications,ALL,ALL,ALL,ALL,ALL,ALL,630508000,22776
31-Dec-25,Missing,Missing,ALL,ALL,ALL,ALL,ALL,ALL,3716000,290973
31-Dec-25,Core,Social Community and Civic Participation,ALL,ALL,ALL,ALL,ALL,ALL,11563196000,358148
31-Dec-25,Capacity Building,Support Coordination,ALL,ALL,ALL,ALL,ALL,ALL,1198990000,332684
31-Dec-25,Core,Transport,ALL,ALL,ALL,ALL,ALL,ALL,879563000,267510
31-Dec-25,Capacity Building,ALL,ALL,ALL,ACT,ALL,ALL,ALL,127233000,11745
31-Dec-25,Capacity Building,ALL,ALL,ALL,Missing,ALL,ALL,ALL,863000,169
31-Dec-25,Capacity Building,ALL,ALL,ALL,NSW,ALL,ALL,ALL,2720276000,216477
31-Dec-25,Capacity Building,ALL,ALL,ALL,NT,ALL,ALL,ALL,108521000,6733
31-Dec-25,Capacity Building,ALL,ALL,ALL,OT,ALL,ALL,ALL,1721000,87
31-Dec-25,Capacity Building,ALL,ALL,ALL,QLD,ALL,ALL,ALL,1805332000,158695
31-Dec-25,Capacity Building,ALL,ALL,ALL,SA,ALL,ALL,ALL,764288000,63505
31-Dec-25,Capacity Building,ALL,ALL,ALL,TAS,ALL,ALL,ALL,167257000,15605
31-Dec-25,Capacity Building,ALL,ALL,ALL,VIC,ALL,ALL,ALL,2459711000,199604
31-Dec-25,Capacity Building,ALL,ALL,ALL,WA,ALL,ALL,ALL,873112000,64662
31-Dec-25,Capital,ALL,ALL,ALL,ACT,ALL,ALL,ALL,17651000,1188
31-Dec-25,Capital,ALL,ALL,ALL,Missing,ALL,ALL,ALL,n/a,<11
31-Dec-25,Capital,ALL,ALL,ALL,NSW,ALL,ALL,ALL,427974000,26017
31-Dec-25,Capital,ALL,ALL,ALL,NT,ALL,ALL,ALL,13626000,847
31-Dec-25,Capital,ALL,ALL,ALL,OT,ALL,ALL,ALL,n/a,<11
31-Dec-25,Capital,ALL,ALL,ALL,QLD,ALL,ALL,ALL,339104000,18520
31-Dec-25,Capital,ALL,ALL,ALL,SA,ALL,ALL,ALL,107880000,7441
31-Dec-25,Capital,ALL,ALL,ALL,TAS,ALL,ALL,ALL,26115000,1923
31-Dec-25,Capital,ALL,ALL,ALL,VIC,ALL,ALL,ALL,353239000,21818
31-Dec-25,Capital,ALL,ALL,ALL,WA,ALL,ALL,ALL,134171000,8602
31-Dec-25,Core,ALL,ALL,ALL,Missing,ALL,ALL,ALL,n/a,<11
31-Dec-25,Core,ALL,ALL,ALL,ACT,ALL,ALL,ALL,561239000,8637
31-Dec-25,Core,ALL,ALL,ALL,Missing,ALL,ALL,ALL,755000,43
31-Dec-25,Core,ALL,ALL,ALL,NSW,ALL,ALL,ALL,11971880000,165410
31-Dec-25,Core,ALL,ALL,ALL,NT,ALL,ALL,ALL,599953000,5280
31-Dec-25,Core,ALL,ALL,ALL,OT,ALL,ALL,ALL,3112000,67
31-Dec-25,Core,ALL,ALL,ALL,QLD,ALL,ALL,ALL,8341791000,115539
31-Dec-25,Core,ALL,ALL,ALL,SA,ALL,ALL,ALL,3245582000,46539
31-Dec-25,Core,ALL,ALL,ALL,TAS,ALL,ALL,ALL,974024000,13240
31-Dec-25,Core,ALL,ALL,ALL,VIC,ALL,ALL,ALL,9434461000,151048
31-Dec-25,Core,ALL,ALL,ALL,WA,ALL,ALL,ALL,3371419000,47118
31-Dec-25,Missing,ALL,ALL,ALL,Missing,ALL,ALL,ALL,n/a,<11
31-Dec-25,Missing,ALL,ALL,ALL,ACT,ALL,ALL,ALL,0,6867
31-Dec-25,Missing,ALL,ALL,ALL,Missing,ALL,ALL,ALL,0,254
31-Dec-25,Missing,ALL,ALL,ALL,NSW,ALL,ALL,ALL,0,82520
31-Dec-25,Missing,ALL,ALL,ALL,NT,ALL,ALL,ALL,0,2539
31-Dec-25,Missing,ALL,ALL,ALL,OT,ALL,ALL,ALL,0,19
31-Dec-25,Missing,ALL,ALL,ALL,QLD,ALL,ALL,ALL,0,62091
31-Dec-25,Missing,ALL,ALL,ALL,SA,ALL,ALL,ALL,0,23363
31-Dec-25,Missing,ALL,ALL,ALL,TAS,ALL,ALL,ALL,0,5369
31-Dec-25,Missing,ALL,ALL,ALL,VIC,ALL,ALL,ALL,0,82920
31-Dec-25,Missing,ALL,ALL,ALL,WA,ALL,ALL,ALL,3716000,25030
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,ABI,ALL,322896000,20022
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Autism,ALL,3620917000,306743
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Cerebral Palsy,ALL,318619000,18367
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Developmental delay,ALL,802495000,79810
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Down Syndrome,ALL,171009000,11404
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Global developmental delay,ALL,244514000,19256
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Hearing Impairment,ALL,112161000,21687
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Intellectual Disability,ALL,1328773000,93619
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Missing,ALL,6756000,749
31-Dec-25,Capacity Building,ALL,ALL,ALL,ALL,ALL,Multiple Sclerosis,ALL,152050000,12066
