RprtDt,StateCd,SrvcDstrctNm,DsbltyGrpNm,AgeBnd,SILorSDA,suppclass,Utlstn
31DEC2025,ACT,ACT,ALL,0 to 8,ALL,ALL,64%
31DEC2025,ACT,ACT,ALL,0 to 8,ALL,Capacity Building,63%
31DEC2025,ACT,ACT,ALL,0 to 8,ALL,Capital,81%
31DEC2025,ACT,ACT,ALL,0 to 8,ALL,Core,68%
31DEC2025,ACT,ACT,ALL,0 to 8,No,ALL,64%
31DEC2025,ACT,ACT,ALL,0 to 8,No,Capacity Building,63%
31DEC2025,ACT,ACT,ALL,0 to 8,No,Capital,81%
31DEC2025,ACT,ACT,ALL,0 to 8,No,Core,68%
31DEC2025,ACT,ACT,Autism,0 to 8,ALL,ALL,72%
31DEC2025,ACT,ACT,Autism,0 to 8,ALL,Capacity Building,67%
31DEC2025,ACT,ACT,Autism,0 to 8,ALL,Capital,70%
31DEC2025,ACT,ACT,Autism,0 to 8,ALL,Core,88%
31DEC2025,ACT,ACT,Autism,0 to 8,No,ALL,72%
31DEC2025,ACT,ACT,Autism,0 to 8,No,Capacity Building,67%
31DEC2025,ACT,ACT,Autism,0 to 8,No,Capital,70%
31DEC2025,ACT,ACT,Autism,0 to 8,No,Core,88%
31DEC2025,ACT,ACT,Cerebral Palsy,0 to 8,ALL,ALL,39%
31DEC2025,ACT,ACT,Cerebral Palsy,0 to 8,ALL,Capacity Building,61%
31DEC2025,ACT,ACT,Cerebral Palsy,0 to 8,ALL,Capital,38%
31DEC2025,ACT,ACT,Cerebral Palsy,0 to 8,ALL,Core,29%
31DEC2025,ACT,ACT,Cerebral Palsy,0 to 8,No,ALL,39%
31DEC2025,ACT,ACT,Cerebral Palsy,0 to 8,No,Capacity Building,61%
31DEC2025,ACT,ACT,Cerebral Palsy,0 to 8,No,Capital,38%
31DEC2025,ACT,ACT,Cerebral Palsy,0 to 8,No,Core,29%
31DEC2025,ACT,ACT,Developmental delay,0 to 8,ALL,ALL,60%
31DEC2025,ACT,ACT,Developmental delay,0 to 8,ALL,Capacity Building,58%
31DEC2025,ACT,ACT,Developmental delay,0 to 8,ALL,Capital,100%
31DEC2025,ACT,ACT,Developmental delay,0 to 8,ALL,Core,64%
31DEC2025,ACT,ACT,Developmental delay,0 to 8,No,ALL,60%
31DEC2025,ACT,ACT,Developmental delay,0 to 8,No,Capacity Building,58%
31DEC2025,ACT,ACT,Developmental delay,0 to 8,No,Capital,100%
31DEC2025,ACT,ACT,Developmental delay,0 to 8,No,Core,64%
31DEC2025,ACT,ACT,Down Syndrome,0 to 8,ALL,ALL,77%
31DEC2025,ACT,ACT,Down Syndrome,0 to 8,ALL,Capacity Building,73%
31DEC2025,ACT,ACT,Down Syndrome,0 to 8,ALL,Core,90%
31DEC2025,ACT,ACT,Down Syndrome,0 to 8,No,ALL,77%
31DEC2025,ACT,ACT,Down Syndrome,0 to 8,No,Capacity Building,73%
31DEC2025,ACT,ACT,Down Syndrome,0 to 8,No,Core,90%
31DEC2025,ACT,ACT,Global developmental delay,0 to 8,ALL,ALL,69%
31DEC2025,ACT,ACT,Global developmental delay,0 to 8,ALL,Capacity Building,70%
31DEC2025,ACT,ACT,Global developmental delay,0 to 8,ALL,Capital,100%
31DEC2025,ACT,ACT,Global developmental delay,0 to 8,ALL,Core,58%
31DEC2025,ACT,ACT,Global developmental delay,0 to 8,No,ALL,69%
31DEC2025,ACT,ACT,Global developmental delay,0 to 8,No,Capacity Building,70%
31DEC2025,ACT,ACT,Global developmental delay,0 to 8,No,Capital,100%
31DEC2025,ACT,ACT,Global developmental delay,0 to 8,No,Core,58%
31DEC2025,ACT,ACT,Hearing Impairment,0 to 8,ALL,ALL,46%
31DEC2025,ACT,ACT,Hearing Impairment,0 to 8,ALL,Capacity Building,49%
31DEC2025,ACT,ACT,Hearing Impairment,0 to 8,ALL,Core,29%
31DEC2025,ACT,ACT,Hearing Impairment,0 to 8,No,ALL,46%
31DEC2025,ACT,ACT,Hearing Impairment,0 to 8,No,Capacity Building,49%
31DEC2025,ACT,ACT,Hearing Impairment,0 to 8,No,Core,29%
31DEC2025,ACT,ACT,Intellectual Disability,0 to 8,ALL,ALL,70%
31DEC2025,ACT,ACT,Intellectual Disability,0 to 8,ALL,Capacity Building,71%
31DEC2025,ACT,ACT,Intellectual Disability,0 to 8,ALL,Capital,54%
31DEC2025,ACT,ACT,Intellectual Disability,0 to 8,ALL,Core,70%
31DEC2025,ACT,ACT,Intellectual Disability,0 to 8,No,ALL,70%
31DEC2025,ACT,ACT,Intellectual Disability,0 to 8,No,Capacity Building,71%
31DEC2025,ACT,ACT,Intellectual Disability,0 to 8,No,Capital,54%
31DEC2025,ACT,ACT,Intellectual Disability,0 to 8,No,Core,70%
31DEC2025,ACT,ACT,Other,0 to 8,ALL,ALL,53%
31DEC2025,ACT,ACT,Other,0 to 8,ALL,Capacity Building,53%
31DEC2025,ACT,ACT,Other,0 to 8,ALL,Core,62%
31DEC2025,ACT,ACT,Other,0 to 8,No,ALL,53%
31DEC2025,ACT,ACT,Other,0 to 8,No,Capacity Building,53%
31DEC2025,ACT,ACT,Other,0 to 8,No,Core,62%
31DEC2025,ACT,ACT,Other Neurological,0 to 8,ALL,ALL,67%
31DEC2025,ACT,ACT,Other Neurological,0 to 8,ALL,Capacity Building,47%
31DEC2025,ACT,ACT,Other Neurological,0 to 8,ALL,Core,44%
