feature,importance
num__utilisation_gap,0.17803779745119166
num__utilisation_rate,0.17392817119487639
num__active_provider_count,0.1731040121831586
num__participant_to_provider_ratio,0.17080790868903953
num__participant_count,0.060554072255493085
num__average_support_budget,0.05974192350419939
num__payment_per_participant,0.0500342599638325
cat__support_class_Core,0.013016857544023194
cat__support_class_Capacity Building,0.010667896054773335
cat__support_class_Capital,0.008975618896196271
cat__age_group_15 to 18,0.004004764369720623
cat__state_ACT,0.003947991218268098
cat__age_group_0 to 8,0.003860522489343245
cat__disability_type_Hearing Impairment,0.0038054961675343148
cat__state_VIC,0.0036964189761824833
cat__disability_type_Other Physical,0.003436879973259719
cat__state_NT,0.003149087908942022
cat__disability_type_Other Sensory/Speech,0.003000958649041939
cat__state_SA,0.002994456617453157
cat__state_NSW,0.002985909008864654
cat__disability_type_Psychosocial Disability,0.002853789453759903
cat__age_group_19 to 24,0.0028483322439339107
cat__state_TAS,0.002762515746979243
cat__age_group_55 to 64,0.0027294447302794573
cat__age_group_9 to 14,0.002707330972534577
cat__disability_type_Intellectual Disability,0.00269806668502429
cat__disability_type_Visual Impairment,0.002665995285700806
cat__disability_type_Autism,0.0026656556682477517
cat__state_WA,0.002644060616341316
cat__disability_type_Other,0.002583531100185986
cat__age_group_65+,0.0025758044006351584
cat__state_QLD,0.0024257609182348895
cat__age_group_35 to 44,0.0024145508718551372
cat__disability_type_Down Syndrome,0.002319844421949905
cat__age_group_45 to 54,0.002269275374937122
cat__age_group_25 to 34,0.0022492562946399646
cat__disability_type_Other Neurological,0.002098737241247272
cat__disability_type_Multiple Sclerosis,0.001999985596353254
cat__disability_type_Cerebral Palsy,0.001787582572888393
cat__disability_type_Stroke,0.001771826647011338
cat__disability_type_ABI,0.0015440592850160502
cat__disability_type_Spinal Cord Injury,0.0015320382375438233
cat__support_class_Community Participation,0.0014296115935410207
cat__support_class_Assistive Technology,0.0014084272850769988
cat__support_class_Core Support,0.0013211823088734506
cat__disability_type_Developmental Delay,0.0012958660690528816
cat__disability_type_Other / Unknown,0.0011536309753364532
cat__disability_type_Global Developmental Delay,0.0011458167550718466
cat__support_class_Therapeutic Support,0.0011361425897105258
cat__disability_type_Physical Disability,0.00106713540936102
cat__support_class_Support Coordination,0.001035571449088227
cat__age_group_15 to 24,0.0010338791842393145
cat__disability_type_Acquired Brain Injury,0.0009519478358679789
cat__disability_type_Neurological Disability,0.0007919454920129438
cat__disability_type_Disability_Missing,0.00033039557207351284
