feature,importance
num__active_provider_count,0.08390587083911305
cat__disability_type_Hearing Impairment,0.07003876710473862
cat__disability_type_Intellectual Disability,0.06822999385409252
cat__disability_type_Visual Impairment,0.06665637007675412
num__participant_count,0.06507581610873668
num__participant_to_provider_ratio,0.06265836215164108
cat__disability_type_Autism,0.05591814603087555
num__utilisation_rate,0.051664944997816487
num__utilisation_gap,0.04640471682870048
num__average_support_budget,0.040951387719576765
cat__disability_type_Acquired Brain Injury,0.04054827688909364
cat__disability_type_Physical Disability,0.038218674889136
cat__disability_type_Psychosocial Disability,0.037902772570475744
cat__disability_type_Neurological Disability,0.03766943410206399
cat__disability_type_Other / Unknown,0.032040815355389045
cat__disability_type_Other Physical,0.03115819633234382
cat__disability_type_Other Neurological,0.031029416361176808
cat__disability_type_Developmental Delay,0.02967654844777289
cat__disability_type_Psychosocial disability,0.025210334218476287
num__payment_per_participant,0.021868874351572858
cat__disability_type_Developmental delay,0.006351581043813903
cat__disability_type_Global developmental delay,0.0048826651876236775
cat__disability_type_Cerebral Palsy,0.004535557614000543
cat__disability_type_Down Syndrome,0.0042988137933574816
cat__age_group_0 to 8,0.0034288250965633323
cat__disability_type_ABI,0.0033439780851060082
cat__disability_type_Other,0.0030164800714897414
cat__disability_type_Spinal Cord Injury,0.0026344297420557586
cat__disability_type_Multiple Sclerosis,0.0020251831320845575
cat__age_group_9 to 14,0.0020212477672311826
cat__disability_type_Stroke,0.001924871583651484
cat__state_NSW,0.0017239231719952894
cat__age_group_55 to 64,0.0015861630635622874
cat__state_OT,0.0015690158345541454
cat__state_VIC,0.0015196023535998047
cat__state_ACT,0.0014751570891472139
cat__state_TAS,0.0014581127334073393
cat__state_NT,0.0014562305699517407
cat__age_group_25 to 34,0.001440677134253541
cat__age_group_35 to 44,0.0013694993772892941
cat__state_SA,0.0013666655240866367
cat__state_QLD,0.0013652277015989752
cat__age_group_45 to 54,0.0013584989787982589
cat__disability_type_Other Sensory/Speech,0.0012146203507752355
cat__state_WA,0.001167769604134707
cat__age_group_15 to 24,0.0009732101050724003
cat__age_group_15 to 18,0.000945202912044972
cat__disability_type_DsbltyGrp_Missing,0.0009404527902240421
cat__age_group_19 to 24,0.0006747791454115012
cat__age_group_65+,0.0006425392730659662
cat__state_State_Missing,0.000461299940502515
